Organisation,CityName,Country,Region,Access,C40,ReportingYear,TypeOfTarget,Sector,BaselineYear,BaselineEmissions,PercentageReductionTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Comment,CurrentPopulation,PopulationYear,CityLocation
Glasgow City Council,Glasgow,United Kingdom,Europe,Public,,2017,Absolute target,,2006,39873000,30,2020,,,,598830,2011,"(55.859272, -4.212783)"
Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia,Latin America,Public,,2017,Absolute target,,,,,,,,,2053757,2012,"(-21.266606, -63.488416)"
Gobierno Municipal de León de los Aldamas,#N/A,#N/A,#N/A,Public,,2017,Absolute target,,2013,,20,2020,,,Meta global de mitigación definida en el programa municipal de cambio climático.,,#N/A,
Seoul Metropolitan Government,"Seoul ",South Korea,East Asia,Public,C40,2017,Absolute target,,,,,,,,,10204000,2016,"(37.566535, 126.9779692)"
Government of Hong Kong Special Administrative Region,Hong Kong,Hong Kong,East Asia,Public,C40,2017,Base year intensity target,Other: Total,2005,0,50,,,Metric tonnes of CO2e per unit GDP,,7336600,2016,"(22.2880809, 114.1398015)"
Government of Hong Kong Special Administrative Region,Hong Kong,Hong Kong,East Asia,Public,C40,2017,Base year intensity target,Other: Total,2005,0,65,,,Metric tonnes of CO2e per unit GDP,,7336600,2016,"(22.2880809, 114.1398015)"
Greater London Authority,"London ",United Kingdom,Europe,Public,C40,2017,Absolute target,Total,1990,45050000,60,2025,,,,8600000,2015,"(51.504858, -0.078689)"
Greater London Authority,"London ",United Kingdom,Europe,Public,C40,2017,Absolute target,Total,1990,45050000,80,2050,,,Please note in the new integrated Environment Strategy we will set a target for Lonon to become a zero carbon city by 2050,8600000,2015,"(51.504858, -0.078689)"
Greater Manchester,Manchester,United Kingdom,Europe,Public,,2017,Absolute target,Total,1990,21200000,48,2020,,,See Climate Change and Low Emission Strategies’Whole Place Implementation Plan for Greater Manchester(2016-2020) (attached for detailed actions.,2762000,2014,"(53.4575955, -2.1578377)"
Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,Public,,2017,Absolute target,Total,2012,312026,95,2050,,,,49960,2016,"(55.656328, 12.2898)"
Hørsholm Kommune,Hørsholm,Denmark,Europe,Public,,2017,Absolute target,,2010,,20,2020,,,,24709,2014,"(55.883514, 12.504924)"
Hsinchu City Government,Hsinchu City,Taiwan,East Asia,Public,,2017,Absolute target,Total,2013,805953,6,2018,,,,438322,2017,"(24.807345, 120.968248)"
Hsinchu City Government,Hsinchu City,Taiwan,East Asia,Public,,2017,Absolute target,Total,2013,805953,12,2021,,,,438322,2017,"(24.807345, 120.968248)"
Hsinchu City Government,Hsinchu City,Taiwan,East Asia,Public,,2017,Absolute target,Total,2013,805953,17,2026,,,,438322,2017,"(24.807345, 120.968248)"
Hsinchu County Government,Hsinchu County,Taiwan,East Asia,Public,,2017,Absolute target,,2011,,5,2020,,,,537948,2015,"(24.8269, 121.0129)"
Hsinchu County Government,Hsinchu County,Taiwan,East Asia,Public,,2017,Absolute target,,2011,,10,2025,,,,537948,2015,"(24.8269, 121.0129)"
Iskandar Regional Development Authority,"Iskandar ",Malaysia,South Asia and Oceania,Public,,2017,Base year intensity target,Other:,2005,11,58,,,Metric tonnes of CO2e per unit GDP,,1945000,2016,"(5.714476, 100.992084)"
Kaohsiung City Government,Kaohsiung,Taiwan,East Asia,Public,,2017,Baseline scenario (business as usual) target,Stationary energy (buildings),2005,67326998,,2020,67326998,"Chu Chen, Mayor of Kaohsiung City had set up short term GHG reduction target, decreasing 20% by 2020 compared with the emissions in 2005. Therefore, city has to build up its future BAU for comparison with baseline emissions, to estimate how many should city reduce in order to reach the target.",,2779371,2016,"(22.629705, 120.343804)"
Landeshauptstadt Magdeburg,Magdeburg,Germany,Europe,Public,,2017,Absolute target,,1990,,95,2050,,,GHG sources towhich the target applies:CO2-City-wideSolutions of the municipal council,238000,2015,"(52.1205, 11.6276)"
Landeshauptstadt Magdeburg,Magdeburg,Germany,Europe,Public,,2017,Absolute target,,2012,,86,2050,,,GHG sources towhich the target applies:CO2-City-wideSolutions of the municipal council,238000,2015,"(52.1205, 11.6276)"
Lejre Kommune,Lejre,Denmark,Europe,Public,,2017,Absolute target,,2011,,30,2020,,,,27317,2016,"(55.6013, 11.9645)"
Los Altos Hills,Los Altos Hills,USA,North America,Public,,2017,Absolute target,,2005,,30,2025,,,"Not yet approved by town council. Our prior target was 30% below 2005 levels by 2015, and we achieved 15%.",7992,2016,"(37.3797, -122.1375)"
Malmö Stad,Malmö,Sweden,Europe,Public,,2017,Absolute target,,,,,,,,,328494,2017,"(55.605, 13.0038)"
Metropolitan Municipality of Lima,Lima,Peru,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Waste,2015,3093113,,2025,620000,,,8755262,2014,"(-12.046374, -77.042793)"
Middelfart Kommune,Middelfart,Denmark,Europe,Public,,2017,Absolute target,Buildings,2010,70365,,2025,,,,38093,2017,"(55.470958, 9.872643)"
Middelfart Kommune,Middelfart,Denmark,Europe,Public,,2017,Absolute target,Transport,2010,104276,,2025,,,,38093,2017,"(55.470958, 9.872643)"
Middelfart Kommune,Middelfart,Denmark,Europe,Public,,2017,Absolute target,Total,2010,362234,50,2025,,,,38093,2017,"(55.470958, 9.872643)"
Municipalidad de Magdalena del Mar,Magdalena del Mar,Peru,Latin America,Public,,2017,Absolute target,,2015,,30,2030,,,,54656,2015,"(-12.091653, -77.06705)"
Municipalidad de Providencia,Providencia,Chile,Latin America,Public,,2017,Absolute target,,,,,,,,,147533,2015,"(-33.431297, -70.609189)"
Municipalidad de San Isidro (Argentina),San Isidro,Argentina,Latin America,Public,,2017,Absolute target,,,,,,,,,292878,2010,"(-32.977511, -68.812232)"
Municipalidad de San Isidro (Argentina),San Isidro,Argentina,Latin America,Public,,2017,Absolute target,,,,,,,,,292878,2010,"(-32.977511, -68.812232)"
Municipalidad de San Isidro (Argentina),San Isidro,Argentina,Latin America,Public,,2017,Absolute target,,,,,,,,,292878,2010,"(-32.977511, -68.812232)"
Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,Public,,2017,Baseline scenario (business as usual) target,Stationary energy (buildings),2015,171169.05,,2020,,,,54206,2015,"(-12.09772, -77.027336)"
Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,Public,,2017,Baseline scenario (business as usual) target,Transportation,2015,61438.26,,Other:,,,,54206,2015,"(-12.09772, -77.027336)"
Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,Public,,2017,Baseline scenario (business as usual) target,Waste,2015,110623.19,,2020,,,,54206,2015,"(-12.09772, -77.027336)"
Municipality of Arendal,Arendal,Norway,Europe,Public,,2017,Base year intensity target,Other: Total,2009,,76,,,Metric tonnes of CO2e per capita,,44574,2016,"(58.461757, 8.77245)"
Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Absolute target,Total,2007,3.2,20,2030,,,,2513451,2016,"(-19.916681, -43.934493)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Absolute target,Other: Energy,2015,299945,10,2016,,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Absolute target,Waste,2015,90271,15,2016,,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Absolute target,Other: Agriculture,2015,174,5,2016,,,"Diversion of agricultural land to industrial, commercial and residential.",322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Absolute target,Transport,2015,123940,20,2016,,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Base year intensity target,Stationary energy (buildings),Other: 2017,53990,20,,,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Base year intensity target,Waste,Other: 2017,30336,50,,,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Base year intensity target,Other: Agriculture,Other: 2017,0,0,,,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Base year intensity target,Transportation,Other:,29758,30,,,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Baseline scenario (business as usual) target,Stationary energy (buildings),Other: 2017,269951,,Other: 2018,53990,It is a material tom include the agricultural sector due to non-availability of land.,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Baseline scenario (business as usual) target,Transportation,Other: 2017,99192,,Other: 2018,49956,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Cainta,Cainta,Philippines,South Asia and Oceania,Public,,2017,Baseline scenario (business as usual) target,Waste,Other: 2017,7673,,Other:,767.3,,,322128,2015,"(14.5865, 121.1149)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Absolute target,Total,2012,3120425,11.28,2020,,,"2012 was used as a baseline year to extrapolate the next years total GHG emissons. In this way, the 2020 GHG emissions reference scenario is 4.093.521 tCO2e, and the absolute reduction (11.28%) will be of 461.767 tCO2e.",1625583,2016,"(-8.057838, -34.882897)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Absolute target,Total,2012,3120425,24.6,2030,,,"2012 was used as a baseline year to extrapolate the next years total GHG emissons. In this way, the 2030 GHG emissions reference scenario 5776965 tCO2e, and the absolute reduction (24.60%) will be of 1421136 tCO2e.",1625583,2016,"(-8.057838, -34.882897)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Absolute target,Total,2012,3120425,19.62,2040,,,"2012 was used as a baseline year to extrapolate the next years total GHG emissons. In this way, the 2040 GHG emissions reference scenario is 8272718 tCO2e, and the absolute reduction (19.62%) will be of 1623344 tCO2e. It is important to note that from 2030, the impact of the GHG Emission Reduction Plan loses efficiency, as many of the actions reach their greatest potential before that date. Thus, in a few years, it is necessary to update the GHG Emission Reduction Plan, mainly in the transportation sector.",1625583,2016,"(-8.057838, -34.882897)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Baseline scenario (business as usual) target,Transportation,2012,2038873,,2040,5171113,,,1625583,2016,"(-8.057838, -34.882897)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Baseline scenario (business as usual) target,Industrial buildings,2012,151939,,2040,420219,,,1625583,2016,"(-8.057838, -34.882897)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Baseline scenario (business as usual) target,Commercial buildings,2012,115167,,2040,405712,,,1625583,2016,"(-8.057838, -34.882897)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Baseline scenario (business as usual) target,Residential buildings,2012,202164,,2040,792509,,,1625583,2016,"(-8.057838, -34.882897)"
Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Baseline scenario (business as usual) target,Waste,2012,601390,,2040,700000,,,1625583,2016,"(-8.057838, -34.882897)"
Município de Braga,Braga,Portugal,Europe,Public,,2017,Absolute target,Total,2008,,20,2020,,,Target according to the Covenant of Mayors,182000,2011,"(41.533751, -8.438218)"
Município de Guimarães,Guimarães,Portugal,Europe,Public,,2017,Absolute target,Total,2008,146651,20,2020,,,,154920,2015,"(41.444266, -8.292241)"
Município de Moita,Moita,Portugal,Europe,Public,,2017,Absolute target,,2008,,20,2020,,,,66029,2011,"(41.30284, -8.65731)"
New Taipei City Government,"New Taipei ",Taiwan,East Asia,Public,,2017,Absolute target,Other: Stationary energy (buildings),2005,6449472,25,2030,,,,3970644,2016,"(25.0111, 121.4458)"
New Taipei City Government,"New Taipei ",Taiwan,East Asia,Public,,2017,Absolute target,Other: Industrial buildings,2005,7024594,25,2030,,,,3970644,2016,"(25.0111, 121.4458)"
New Taipei City Government,"New Taipei ",Taiwan,East Asia,Public,,2017,Absolute target,Transport,2005,4807477,25,2030,,,,3970644,2016,"(25.0111, 121.4458)"
New Taipei City Government,"New Taipei ",Taiwan,East Asia,Public,,2017,Absolute target,Waste,2005,510068,25,2030,,,,3970644,2016,"(25.0111, 121.4458)"
New York City,New York City,USA,North America,Public,C40,2017,Absolute target,Total,2005,61060000,40,2030,,,,8537673,2016,"(40.7127837, -74.0059413)"
New York City,New York City,USA,North America,Public,C40,2017,Absolute target,Total,2005,61060000,80,2050,,,,8537673,2016,"(40.7127837, -74.0059413)"
Pasig City Government,Pasig,Philippines,South Asia and Oceania,Public,,2017,Absolute target,Total,2010,,10,2020,,,,772695,2016,"(14.58691, 121.0614)"
Pingtung County Government,"Pingtung ",Taiwan,East Asia,Public,,2017,Absolute target,,2013,,30,2030,,,"Pingtung County set up the GHG emission reduction goal, decreasing 30% by 2030 compared with the emission in 2013.",835792,2016,"(22.6558, 120.4703)"
Prefeitura de Cuiabá,Cuiabá,Brazil,Latin America,Public,,2017,Absolute target,,,,,,,,,580489,2015,"(-15.881977, -52.266326)"
Prefeitura de Florianópolis,Florianópolis,Brazil,Latin America,Public,,2017,Absolute target,,2013,,42,2020,,,"low carbon agriculture, implementation of green infrastructure, reduction in energy, consumption, sanitation, reducing fuel consumption",550000,2010,"(-27.5949884, -48.5481743)"
Prefeitura de Palmas,Palmas,Brazil,Latin America,Public,,2017,Absolute target,,,,,,,,,279856,2016,"(-10.249091, -48.324286)"
Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,Public,C40,2017,Absolute target,Total,2005,11402180,20,2020,,,"Target established in the municipal law that created the ""Municipal Climate Change and Sustainable Development Policy"" (5428/2011).",6498837,2016,"(-22.9054389, -43.5614471)"
Regional Municipality of Durham,Durham,Canada,North America,Public,,2017,Absolute target,Total,2007,5021342,5,2015,,,Not sector-specific,645862,2016,"(43.936838, -78.928824)"
Regional Municipality of Durham,Durham,Canada,North America,Public,,2017,Absolute target,Total,2007,5021342,20,2020,,,,645862,2016,"(43.936838, -78.928824)"
Regional Municipality of Durham,Durham,Canada,North America,Public,,2017,Absolute target,Total,2007,5021342,80,2050,,,,645862,2016,"(43.936838, -78.928824)"
Riga City,Riga,Latvia,Europe,Public,,2017,Absolute target,Total,1990,4295,54,2020,,,(Thousand tonnes) Regarding Sustainable Energy Action Plan 2014-2020,641423,2017,"(56.9496, 24.1052)"
Ringkøbing-Skjern Kommune,Ringkøbing-Skjern,Denmark,Europe,Public,,2017,Absolute target,Total,2007,491364,100,2020,,,"http://www.energi2020.dk/english, See information given in ""My Covenant for Climate and Energy""",58176,2012,"(56.0447, 8.5059)"
Salt Lake City,Salt Lake City,USA,North America,Public,,2017,Absolute target,,2009,4943904,80,2040,,,,192672,2015,"(40.7608, -111.891)"
Santarém,Santarém,Portugal,Europe,Public,,2017,Absolute target,Total,2006,337112,21,2020,,,,61752,2011,"(39.236669, -8.685994)"
Singapore Government,"Singapore ",Singapore,South Asia and Oceania,Public,C40,2017,Base year intensity target,Other: Nation-wide,2005,0.18,36,2030,,Metric tonnes of CO2e per unit GDP,"As part of the Paris Agreement, Singapore pledged to reduce our emissions intensity by 36% below 2005 levels by 2030 and to stabilise our emissions with the aim of peaking around 2030",5600000,2016,"(1.352083, 103.819836)"
Sonderborg Kommune,Sonderborg,Denmark,Europe,Public,,2017,Absolute target,,2007,4763894,25,2015,,,,74801,2017,"(54.913811, 9.792178)"
Sonderborg Kommune,Sonderborg,Denmark,Europe,Public,,2017,Absolute target,,2007,4763894,50,2020,,,,74801,2017,"(54.913811, 9.792178)"
Sonderborg Kommune,Sonderborg,Denmark,Europe,Public,,2017,Absolute target,,2007,4763894,100,2029,,,,74801,2017,"(54.913811, 9.792178)"
Stadt Heidelberg,Heidelberg,Germany,Europe,Public,C40,2017,Absolute target,Total,1990,915000,95,2050,,,,146333,2015,"(49.398752, 8.672434)"
Stadt Zürich,Zürich,Switzerland,Europe,Public,,2017,Absolute target,Total,2005,,28,2020,,,The baseline emission and the target emission are measured in tonnes CO2e per person per year.Target for 2050: 1.0 tonnes CO2e per person (18% of 2005)Target for 2035: 2.5 tonnes CO2e per person (45% of 2005)Target for 2020: 4.0 tonnes CO2e per person (72% of 2005),415682,2016,"(47.3686498, 8.5391825)"
Stadt Zürich,Zürich,Switzerland,Europe,Public,,2017,Absolute target,Total,2005,,55,2035,,,,415682,2016,"(47.3686498, 8.5391825)"
Stadt Zürich,Zürich,Switzerland,Europe,Public,,2017,Absolute target,Total,2005,,82,2050,,,,415682,2016,"(47.3686498, 8.5391825)"
Taichung City Government,Taichung,Taiwan,East Asia,Public,,2017,Absolute target,Total,2011,,10,2022,,,,2750000,2016,"(24.161859, 120.646967)"
Tainan City Government,"Tainan ",Taiwan,East Asia,Public,,2017,Absolute target,Total,2005,19510422,50,2050,,,,1886033,2016,"(22.9999, 120.2269)"
Tainan City Government,"Tainan ",Taiwan,East Asia,Public,,2017,Absolute target,Total,2005,19510422,20,2030,,,,1886033,2016,"(22.9999, 120.2269)"
Taipei City Government,Taipei,Taiwan,East Asia,Public,,2017,Absolute target,Total,2005,13108260,25,2030,,,,2695704,2016,"(25.037525, 121.563782)"
Taipei City Government,Taipei,Taiwan,East Asia,Public,,2017,Absolute target,Total,2005,13108260,50,2050,,,,2695704,2016,"(25.037525, 121.563782)"
Taipei City Government,Taipei,Taiwan,East Asia,Public,,2017,Absolute target,,,,,,,,,2695704,2016,"(25.037525, 121.563782)"
Taoyuan City Government,Taoyuan,Taiwan,East Asia,Public,,2017,Absolute target,Total,2005,30474326,50,2050,,,In accordance with Central Government policy,2153521,2017,"(24.993113, 121.301028)"
Tarnów,Tarnów,Poland,Europe,Public,,2017,Absolute target,,2013,,8.46,2020,,,Data based on plan mentioned in 7.1. a - row 3,110644,2015,"(50.012101, 20.985841)"
Tartu City Council,Tartu,Estonia,Europe,Public,,2017,Base year intensity target,,,,,,,,,150528,2011,"(58.380049, 26.72194)"
Tbilisi City,Tbilisi,Georgia,Europe,Public,,2017,Absolute target,,2010,,24,2020,,,,1113000,2016,"(41.715138, 44.827096)"
Tel Aviv-Yafo Municipality,"Tel Aviv-Yafo ",Israel,South and West Asia,Public,,2017,Absolute target,,2000,,20,2020,,,Underlying assumption that government policies would align with city targets. However government targets were BAU based.,432900,2014,"(32.081604, 34.782285)"
The Hague,The Hague,Netherlands,Europe,Public,,2017,Absolute target,Total,1990,3000000,30,2020,,,"According to RIS180175a Klimaatplan Den Haag, Bijlage 1 De Haagse klimaatopgave in cijfers, and having as 1990 as the base year when CO2 emissions were almost 3000 kton, a minimum of 900 kton should be reduced by 2020 to achieve the 30% reduction target. In 2009 the CO2 emissions amounted to approximately 2700 kton, a reduction of 300 kton since 1990. In order to achieve the 2020 target, 600 kton should be reduced in the next years.",515739,2015,"(52.070498, 4.3007)"
The Hague,The Hague,Netherlands,Europe,Public,,2017,Absolute target,Total,1990,3000000,100,2040,,,,515739,2015,"(52.070498, 4.3007)"
Tokyo Metropolitan Government,Tokyo,Japan,East Asia,Public,C40,2017,Absolute target,Total,2000,62100000,30,2030,,,,13646764,2017,"(35.6896342, 139.6921007)"
Torres Vedras Municipality,"Torres Vedras ",Portugal,Europe,Public,,2017,Absolute target,,2009,,29,2020,,,"Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.",79465,2011,"(38.763669, -9.30148)"
"Town of Ajax, ON","Ajax, ON",Canada,North America,Public,,2017,Absolute target,Total,2005,521620,6,2020,,,,109600,2011,"(43.850855, -79.020373)"
Town of Blacksburg,Blacksburg,USA,North America,Public,,2017,Absolute target,Other: Public,1990,276411,80,2050,,,"We are undertaking an 80% reduction in community-wide emissions below 1990 levels by 2050. This equates to a goal of roughly 55,297 metric tonnes of CO2e by 2050. The sectors for which emissions were measured were: residential, commercial, industrial, municipal and transportation.  There are strategies addressing each of these sectors in the resulting plan.  There are a handful of additional sectors that were included in the plan even though they were not part of our initial GHG inventory.  These include: food, waste & recycling, land use, and clean energy.",44215,2015,"(37.2296, -80.4139)"
"Town of Vail, CO","Vail, CO",USA,North America,Public,,2017,Absolute target,,2009,,20,2020,,,,5305,2010,"(39.6403, -106.3742)"
Village of Kadiovacik,Kadiovacik,Turkey,Europe,Public,,2017,Absolute target,,,,,,,,,218,2017,"(38.3434574, 26.553613)"
Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Baseline scenario (business as usual) target,,,,,,,,,10000000,2017,"(-4.441931, 15.266293)"
Ville de Monaco,Monaco,Monaco,Europe,Public,,2017,Absolute target,,1990,,30,2020,,,Kyoto Protocol - Second period,38400,2015,"(43.737411, 7.420816)"
Ville de Monaco,Monaco,Monaco,Europe,Public,,2017,Absolute target,,1990,,22,2020,,,Kyoto Protocol - QUELRO 2012-2020,38400,2015,"(43.737411, 7.420816)"
Ville de Montreal,Montreal,Canada,North America,Public,C40,2017,Absolute target,Total,1990,14786,30,2020,,," Baseline emissions have been updated. Please refer to 2013 city-wide inventory produced in 2016 (http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ENVIRO_FR/MEDIA/DOCUMENTS/invent_ges_collectivite_2013_fr.PDF)",1959987,2013,"(45.5086699, -73.5539925)"
Ville de Nyon,Nyon,Switzerland,Europe,Public,,2017,Base year intensity target,Stationary energy (buildings),2016,3,46,,,Metric tonnes of CO2e per capita,,20675,2016,"(46.383268, 6.234785)"
Ville de Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,Canada,North America,Public,,2017,Absolute target,,2009,,20,2020,,,,40905,2017,"(45.250091, -74.133086)"
Vilnius City Municipality,"Vilnius ",Lithuania,Europe,Public,,2017,Absolute target,Total,2003,1734000,26.2,2020,,,this target is set under SEP (Covenant of Mayors methodology).,542626,2015,"(54.687156, 25.279651)"
Wellington City Council,Wellington,New Zealand,South Asia and Oceania,Public,,2017,Absolute target,Total,2001,1105654,10,2020,,,,209102,2017,"(26.661763, -80.268357)"
Wellington City Council,Wellington,New Zealand,South Asia and Oceania,Public,,2017,Absolute target,Total,2001,1105654,40,2030,,,,209102,2017,"(26.661763, -80.268357)"
Wellington City Council,Wellington,New Zealand,South Asia and Oceania,Public,,2017,Absolute target,Total,2001,1105654,65,2040,,,,209102,2017,"(26.661763, -80.268357)"
Wellington City Council,Wellington,New Zealand,South Asia and Oceania,Public,,2017,Absolute target,Total,2001,1105654,80,2050,,,,209102,2017,"(26.661763, -80.268357)"
Wellington City Council,Wellington,New Zealand,South Asia and Oceania,Public,,2017,Absolute target,Other: Corporate,2014,92832,80,2050,,,,209102,2017,"(26.661763, -80.268357)"
Municipalidad de Yala,Yala,Argentina,Latin America,Public,,2017,Absolute target,,,,,,,,,4811,2011,"43 130026
(41.112598, -112.051762)"
